,,,,,Playing Time,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Leonardo SuÃ¡rez,ar ARG,"FW,MF",26-306,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.25,0.35,0.6,0.25,0.6,Matches
Sergio De los RÃ­os,mx MEX,MF,19-216,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Francisco GarcÃ­a,mx MEX,FW,19-114,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
SebastiÃ¡n MartÃ­nez,mx MEX,MF,19-280,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Juan Blanco,mx MEX,DF,20-299,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Karel Campos,mx MEX,MF,20-013,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jorge GÃ³mez,mx MEX,DF,21-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Esteban Lozano,mx MEX,FW,19-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luis MalagÃ³n,mx MEX,GK,25-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ralph Orquin,us USA,DF,19-290,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mauricio Reyes,mx MEX,MF,20-234,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fernando Tapia MÃ©ndez,mx MEX,GK,21-227,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.6,21,231,"1,890",21,47,36,45,2,3,33,0,2.24,1.71,3.95,2.14,3.86,33.5,31.1,26.1,57.3,1.59,1.24,2.84,1.48,2.73,
Opponent Total,,,28.7,21,231,"1,890",21,20,13,18,2,3,52,7,0.95,0.62,1.57,0.86,1.48,18.5,16.2,11.6,27.8,0.88,0.55,1.43,0.77,1.32,
